id;titre;duree;affiche;annee
1;La Grande vadrouille;132;grandeVadrouille.jpg;1966
2;Man Of Steel;143;manOfSteel.jpg;2013
3;Star Trek Into Darkness;130;starTrekIntoTheDarkness.jpg;2013
4;Le Hobbit : un voyage inattendu;165;hobbit.jpg;2012
5;The Dark Knight Rises;164;darkKnightRises.jpg;2012
6;Mission : Impossible - Protocole fantôme ;133;miProtocole.jpg;2011
7;Drive;100;drive.jpg;2011
8;Shutter Island;137;shutter.jpg;2010
9;Inception;148;inception.jpg;2010
10;Avatar;162;avatar.jpg;2009
11;Gran Torino;111;granTorino.jpg;2009
12;The Dark Knight;147;darkKnight.jpg;2008
13;Mirrors;111;mirrors.jpg;2008
14;Blood Diamond;142;bloodDiamond.jpg;2007
15;La Môme;140;laMome.jpg;2007
16;Les infiltrés;150;infiltres.jpg;2006
17;Lord of War;122;lordOfWar.jpg;2006
18;Star Wars épisode III : la revanche des Sith;140;revancheSith.jpg;2005
19;Million Dollar Baby;132;millionBaby.jpg;2005
20;Un long dimanche de fiançailles;134;dimancheFiancailles.jpg;2004
21;Le dernier Samourai;144;dernierSamourai.jpg;2004
22;Le Seigneur des Anneaux : Le retour du Roi;200;retourDuRoi.jpg;2003
23;La chute;150;laChute.jpg;2003
24;Le Seigneur des Anneaux : Les deux tours;178;deuxtours.jpg;2002
25;Minority Report;145;minorityReport.jpg;2002
26;Le Seigneur des Anneaux : La Communauté de l'anneau;165;comAnneau.jpg;2001
27;Les autres;165;lesAutres.jpg;2001
28;Gladiator;155;gladiator.jpg;2000
29;La Ligne Verte;189;ligneVerte.jpg;2000
30;Fight Club;135;fightClub.jpg;1999
31;Matrix;135;matrix.jpg;1999
32;Strike Back;45;strikeback.jpg;2010
33;Spartacus - La Guerre des damnés;50;spartacus-laguerredesdamnÃ©s.png;2013
34;Revolution - Saison 1;42;revolution-saison1.jpg;2012
35;Games Of Thrones - Saison 4;52;gamesofthrones-saison4.png;2014
36;Rebelle;95;rebelle.jpg;2012
37;Akira;124;akira.jpg;2007
38;Le chateau dans le ciel;124;lechateaudansleciel.jpg;2003
39;Le vent se lève;126;leventseleve.jpg;2014
45;Princesse Mononoké;135;princessemononoke.jpg;2000
46;Toy Story 3;100;toystory3.jpg;2010
47;Sin City : j'ai tué pour elle;102;SinCityjaituepourelle.jpg;2014
